text,label
"D'aww! He matches this background colour I'm seemingly stuck with. Thanks.  (talk) 21:51, January 11, 2016 (UTC)",0
"Hey man, I'm really not trying to edit war. It's just that this guy is constantly removing relevant information and talking to me through edits instead of my talk page. He seems to care more about the formatting than the actual info.",0
"You, sir, are my hero. Any chance you remember what page that's on?",0
"""

Congratulations from me as well, use the tools well.  · talk """,0
COCKSUCKER BEFORE YOU PISS AROUND ON MY WORK,1
"Your vandalism to the Matt Shirvington article has been reverted.  Please don't do it again, or you will be banned.",0
alignment on this subject and which are contrary to those of DuLithgow,0
"bbq 

be a man and lets discuss it-maybe over the phone?",0
"Oh, and the girl above started her arguments with me. She stuck her nose where it doesn't belong. I believe the argument was between me and Yvesnimmo. But like I said, the situation was settled and I apologized. Thanks,",0
"Bye! 

Don't look, come or think of comming back! Tosser.",1
REDIRECT Talk:Voydan Pop Georgiev- Chernodrinski,0
The Mitsurugi point made no sense - why not argue to include Hindi on Ryo Sakazaki's page to include more information?,0
"""
Good to know. About me, yeah, I'm studying now.(Deepu) """,0
"""

 The Signpost: 24 September 2012 

 Read this Signpost in full
 Single-page
 Unsubscribe
   
""",0
"Radial symmetry 

Several now extinct lineages included in the Echinodermata were bilateral such as Homostelea, or even asymmetrical such as Cothurnocystis (Stylophora).

-",0
"""
Ok. But it will take a bit of work but I can't quite picture it. Do you have an example I can base it on?  the Duck """,0
"""== A barnstar for you! ==

  The Real Life Barnstar lets us be the stars
   """,0
"How could I post before the block expires?  The funny thing is, you think I'm being uncivil!",0
Not sure about a heading of 'Fight for Freedom' what will it contain?,0
"Praise 

looked at this article about 6 months ago -much improved. ]",0
"Hi Explicit, can you block O Fenian for edit-warring on the Giant's Causeway wp. He has made several edits which can only be described as terrorism.",0
"""
 Sure, but the lead must briefly summarize Armenia's history. I simply added what I found necessary. If anyone thinks this or that sentence is redundant for the lead, they are welcome to remove make edits.  talk  """,0
"TFD 

I think we just eced. I think we responded to each other without seeing each others responses. I added something in response to yours, but don't know if you saw mine. (T/C//WP:CHICAGO/WP:FOUR)",0
"FUCK YOUR FILTHY MOTHER IN THE ASS, DRY!",1
"You had a point, and it's now ammended with appropriate encyclopedic notability/significance.",0
"In other words, you're too lazy to actually point anything out. Until you change that approach, the tag goes.",0
GET FUCKED UP. GET FUCKEEED UP.  GOT A DRINK THAT YOU CANT PUT DOWN???/ GET FUCK UP GET FUCKED UP.  I'M FUCKED UP RIGHT NOW!,1
Are you threatening me for disputing neutrality? I know in your country it's quite common to bully your way through a discussion and push outcomes you want. But this is not Russia.,0
Awesome! Then I'll simply disregard your notice. Thanks!,0
